titre;prix;disponibilite;note_moyenne;description;vendeur;categorie;lien_produit
IdeaTab A8-50;121.99;Disponible;13.0;"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2";N/A;Webscraper Varied Static All;https://webscraper.io/test-sites/e-commerce/static/product/28
MeMO Pad 7;130.99;Disponible;11.0;"White, 7"", Atom 1.2GHz, 8GB, Android 4.4";N/A;Webscraper Varied Static All;https://webscraper.io/test-sites/e-commerce/static/product/20
Lenovo ThinkPa...;1349.23;Disponible;5.0;"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro";N/A;Webscraper Varied Static All;https://webscraper.io/test-sites/e-commerce/static/product/143
Acer Predator...;1123.87;Disponible;1.0;"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home";N/A;Webscraper Varied Ajax All;https://webscraper.io/test-sites/e-commerce/ajax/product/103
Acer Nitro 5 A...;1140.62;Disponible;14.0;"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home";N/A;Webscraper Varied Ajax All;https://webscraper.io/test-sites/e-commerce/ajax/product/109
Acer Extensa 1...;439.73;Disponible;6.0;"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux";N/A;Webscraper Varied Ajax All;https://webscraper.io/test-sites/e-commerce/ajax/product/80
Acer Aspire 7...;1123.87;Disponible;4.0;"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home";N/A;Webscraper Varied More All;https://webscraper.io/test-sites/e-commerce/more/product/104
Memo Pad HD 7;101.99;Disponible;10.0;IPS, Dual-Core 1.2GHz, 8GB, Android 4.3;N/A;Webscraper Varied More All;https://webscraper.io/test-sites/e-commerce/more/product/23
Lenovo V510 Bl...;484.23;Disponible;8.0;"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home";N/A;Webscraper Varied More All;https://webscraper.io/test-sites/e-commerce/more/product/87
Toshiba Porteg...;1366.32;Disponible;11.0;"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro";N/A;Webscraper Varied Allinone All;https://webscraper.io/test-sites/e-commerce/allinone/product/145
